id,file,instance,greedy_solution,recuit_solution
0,Instances/gap1.txt,0,309,315
1,Instances/gap1.txt,1,308,327
2,Instances/gap1.txt,2,308,338
3,Instances/gap1.txt,3,309,321
4,Instances/gap1.txt,4,296,319
5,Instances/gap10.txt,0,874,938
6,Instances/gap10.txt,1,836,949
7,Instances/gap10.txt,2,884,949
8,Instances/gap10.txt,3,833,938
9,Instances/gap10.txt,4,846,937
10,Instances/gap11.txt,0,1011,1108
11,Instances/gap11.txt,1,1028,1173
12,Instances/gap11.txt,2,1085,1175
13,Instances/gap11.txt,3,1011,1148
14,Instances/gap11.txt,4,1014,1143
15,Instances/gap12.txt,0,1320,1431
16,Instances/gap12.txt,1,1308,1429
17,Instances/gap12.txt,2,1274,1400
18,Instances/gap12.txt,3,1301,1422
19,Instances/gap12.txt,4,1293,1427
20,Instances/gap2.txt,0,396,428
21,Instances/gap2.txt,1,419,415
22,Instances/gap2.txt,2,381,418
23,Instances/gap2.txt,3,380,414
24,Instances/gap2.txt,4,394,406
25,Instances/gap3.txt,0,544,576
26,Instances/gap3.txt,1,505,544
27,Instances/gap3.txt,2,521,562
28,Instances/gap3.txt,3,517,566
29,Instances/gap3.txt,4,518,548
30,Instances/gap4.txt,0,587,656
31,Instances/gap4.txt,1,572,635
32,Instances/gap4.txt,2,611,660
33,Instances/gap4.txt,3,594,624
34,Instances/gap4.txt,4,604,647
35,Instances/gap5.txt,0,504,542
36,Instances/gap5.txt,1,488,531
37,Instances/gap5.txt,2,505,559
38,Instances/gap5.txt,3,525,550
39,Instances/gap5.txt,4,509,544
40,Instances/gap6.txt,0,691,755
41,Instances/gap6.txt,1,666,745
42,Instances/gap6.txt,2,647,746
43,Instances/gap6.txt,3,646,731
44,Instances/gap6.txt,4,674,733
45,Instances/gap7.txt,0,853,929
46,Instances/gap7.txt,1,840,932
47,Instances/gap7.txt,2,855,941
48,Instances/gap7.txt,3,829,920
49,Instances/gap7.txt,4,836,936
50,Instances/gap8.txt,0,1040,1119
51,Instances/gap8.txt,1,1020,1113
52,Instances/gap8.txt,2,1039,1137
53,Instances/gap8.txt,3,1021,1084
54,Instances/gap8.txt,4,1013,1091
55,Instances/gap9.txt,0,622,693
56,Instances/gap9.txt,1,630,706
57,Instances/gap9.txt,2,646,696
58,Instances/gap9.txt,3,655,716
59,Instances/gap9.txt,4,628,679
60,Instances/gapa.txt,0,3967,4407
61,Instances/gapa.txt,1,7665,8753
62,Instances/gapa.txt,2,3885,4642
63,Instances/gapa.txt,3,7941,9386
64,Instances/gapa.txt,4,4139,4820
65,Instances/gapa.txt,5,8167,9618
66,Instances/gapb.txt,0,3762,3933
67,Instances/gapb.txt,1,7532,8454
68,Instances/gapb.txt,2,3992,4518
69,Instances/gapb.txt,3,8164,9204
70,Instances/gapb.txt,4,4189,4722
71,Instances/gapb.txt,5,8384,9618
72,Instances/gapc.txt,0,3960,4375
73,Instances/gapc.txt,1,7414,8279
74,Instances/gapc.txt,2,3866,4430
75,Instances/gapc.txt,3,8161,9180
76,Instances/gapc.txt,4,4168,4664
77,Instances/gapc.txt,5,8404,9569
78,Instances/gapd.txt,0,9112,9106
79,Instances/gapd.txt,1,18695,18669
80,Instances/gapd.txt,2,10195,10268
81,Instances/gapd.txt,3,20307,20528
82,Instances/gapd.txt,4,10665,10795
83,Instances/gapd.txt,5,21366,21609
