id,file,instance,greedy_solution,recuit_solution
0,Instances/gap1.txt,0,309,309
1,Instances/gap1.txt,1,308,308
2,Instances/gap1.txt,2,308,311
3,Instances/gap1.txt,3,309,309
4,Instances/gap1.txt,4,296,311
5,Instances/gap10.txt,0,874,874
6,Instances/gap10.txt,1,836,864
7,Instances/gap10.txt,2,884,900
8,Instances/gap10.txt,3,833,845
9,Instances/gap10.txt,4,846,850
10,Instances/gap11.txt,0,1011,1031
11,Instances/gap11.txt,1,1028,1037
12,Instances/gap11.txt,2,1085,1106
13,Instances/gap11.txt,3,1011,1026
14,Instances/gap11.txt,4,1014,1033
15,Instances/gap12.txt,0,1320,1322
16,Instances/gap12.txt,1,1308,1317
17,Instances/gap12.txt,2,1274,1283
18,Instances/gap12.txt,3,1301,1311
19,Instances/gap12.txt,4,1293,1302
20,Instances/gap2.txt,0,396,396
21,Instances/gap2.txt,1,419,419
22,Instances/gap2.txt,2,381,381
23,Instances/gap2.txt,3,380,380
24,Instances/gap2.txt,4,394,398
25,Instances/gap3.txt,0,544,544
26,Instances/gap3.txt,1,505,505
27,Instances/gap3.txt,2,521,521
28,Instances/gap3.txt,3,517,524
29,Instances/gap3.txt,4,518,518
30,Instances/gap4.txt,0,587,587
31,Instances/gap4.txt,1,572,581
32,Instances/gap4.txt,2,611,623
33,Instances/gap4.txt,3,594,594
34,Instances/gap4.txt,4,604,609
35,Instances/gap5.txt,0,504,518
36,Instances/gap5.txt,1,488,488
37,Instances/gap5.txt,2,505,512
38,Instances/gap5.txt,3,525,525
39,Instances/gap5.txt,4,509,512
40,Instances/gap6.txt,0,691,696
41,Instances/gap6.txt,1,666,685
42,Instances/gap6.txt,2,647,647
43,Instances/gap6.txt,3,646,649
44,Instances/gap6.txt,4,674,681
45,Instances/gap7.txt,0,853,854
46,Instances/gap7.txt,1,840,847
47,Instances/gap7.txt,2,855,870
48,Instances/gap7.txt,3,829,840
49,Instances/gap7.txt,4,836,848
50,Instances/gap8.txt,0,1040,1040
51,Instances/gap8.txt,1,1020,1022
52,Instances/gap8.txt,2,1039,1039
53,Instances/gap8.txt,3,1021,1029
54,Instances/gap8.txt,4,1013,1017
55,Instances/gap9.txt,0,622,634
56,Instances/gap9.txt,1,630,647
57,Instances/gap9.txt,2,646,646
58,Instances/gap9.txt,3,655,655
59,Instances/gap9.txt,4,628,628
60,Instances/gapa.txt,0,3967,3967
61,Instances/gapa.txt,1,7665,7681
62,Instances/gapa.txt,2,3885,3920
63,Instances/gapa.txt,3,7941,8006
64,Instances/gapa.txt,4,4139,4139
65,Instances/gapa.txt,5,8167,8167
66,Instances/gapb.txt,0,3762,3763
67,Instances/gapb.txt,1,7532,7568
68,Instances/gapb.txt,2,3992,4034
69,Instances/gapb.txt,3,8164,8170
70,Instances/gapb.txt,4,4189,4189
71,Instances/gapb.txt,5,8384,8384
72,Instances/gapc.txt,0,3960,3960
73,Instances/gapc.txt,1,7414,7414
74,Instances/gapc.txt,2,3866,3901
75,Instances/gapc.txt,3,8161,8194
76,Instances/gapc.txt,4,4168,4168
77,Instances/gapc.txt,5,8404,8404
78,Instances/gapd.txt,0,9112,9112
79,Instances/gapd.txt,1,18695,18695
80,Instances/gapd.txt,2,10195,10195
81,Instances/gapd.txt,3,20307,20307
82,Instances/gapd.txt,4,10665,10665
83,Instances/gapd.txt,5,21366,21366
